wgv1_3_thread_id,scene_id,thread_status,target_family_ids,frame_start,frame_end,target_family_count,included_same_vehicle_edge_ids,primary_box_selection_issue_edge_ids,adjacent_split_boundary_edge_ids,adjacent_blocked_edge_ids,review_required,human_review_priority,review_question,auto_merge_allowed,sar_ready,not_final_box_flag,not_revised_annotation_flag,note
GM_RM011_WGV13T001,GM_RM011,same_vehicle_thread_candidate_supported_by_tracking_association,GM_RM011_WGV12TF001;GM_RM011_WGV12TF002,0,9,2,GM_RM011_WGV12M001,,GM_RM011_WGV12M002,GM_RM011_WGV12M002,yes,high,Do all target families in this thread preserve one real-vehicle referent after duplicate-box and competitor checks?,no,no / blocked,yes,yes,Vehicle thread candidate for diagnostic review only; not SAR-ready.
GM_RM011_WGV13T002,GM_RM011,same_vehicle_thread_candidate_with_primary_box_selection_issue,GM_RM011_WGV12TF003;GM_RM011_WGV12TF004;GM_RM011_WGV12TF005,10,25,3,GM_RM011_WGV12M003;GM_RM011_WGV12M004,GM_RM011_WGV12M003,GM_RM011_WGV12M002;GM_RM011_WGV12M005,GM_RM011_WGV12M002,yes,high,Do all target families in this thread preserve one real-vehicle referent after duplicate-box and competitor checks?,no,no / blocked,yes,yes,Vehicle thread candidate for diagnostic review only; not SAR-ready.
GM_RM011_WGV13T003,GM_RM011,standalone_target_family_after_identity_safe_split,GM_RM011_WGV12TF006,31,35,1,,,GM_RM011_WGV12M005,,yes,high,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,Vehicle thread candidate for diagnostic review only; not SAR-ready.
GM_RM011_WGV13T004,GM_RM011,standalone_target_family_after_identity_safe_split,GM_RM011_WGV12TF007,135,137,1,,,,,yes,medium,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,Vehicle thread candidate for diagnostic review only; not SAR-ready.
GM_RM011_WGV13T005,GM_RM011,same_vehicle_thread_candidate_supported_by_tracking_association,GM_RM011_WGV12TF008;GM_RM011_WGV12TF009,151,166,2,GM_RM011_WGV12M006,,,,yes,medium,Do all target families in this thread preserve one real-vehicle referent after duplicate-box and competitor checks?,no,no / blocked,yes,yes,Vehicle thread candidate for diagnostic review only; not SAR-ready.
GM_RM011_WGV13T006,GM_RM011,standalone_target_family_after_identity_safe_split,GM_RM011_WGV12TF010,231,232,1,,,GM_RM011_WGV12M007,GM_RM011_WGV12M007,yes,high,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,Vehicle thread candidate for diagnostic review only; not SAR-ready.
GM_RM011_WGV13T007,GM_RM011,same_vehicle_thread_candidate_supported_by_tracking_association,GM_RM011_WGV12TF011;GM_RM011_WGV12TF012,233,239,2,GM_RM011_WGV12M008,,GM_RM011_WGV12M007;GM_RM011_WGV12M009,GM_RM011_WGV12M007;GM_RM011_WGV12M009,yes,high,Do all target families in this thread preserve one real-vehicle referent after duplicate-box and competitor checks?,no,no / blocked,yes,yes,Vehicle thread candidate for diagnostic review only; not SAR-ready.
GM_RM011_WGV13T008,GM_RM011,standalone_target_family_after_identity_safe_split,GM_RM011_WGV12TF013,242,249,1,,,GM_RM011_WGV12M009;GM_RM011_WGV12M010,GM_RM011_WGV12M009;GM_RM011_WGV12M010,yes,high,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,Vehicle thread candidate for diagnostic review only; not SAR-ready.
GM_RM011_WGV13T009,GM_RM011,standalone_target_family_after_identity_safe_split,GM_RM011_WGV12TF014,250,250,1,,,GM_RM011_WGV12M010;GM_RM011_WGV12M011,GM_RM011_WGV12M010;GM_RM011_WGV12M011,yes,high,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,Vehicle thread candidate for diagnostic review only; not SAR-ready.
GM_RM011_WGV13T010,GM_RM011,standalone_target_family_after_identity_safe_split,GM_RM011_WGV12TF015,251,259,1,,,GM_RM011_WGV12M011;GM_RM011_WGV12M012,GM_RM011_WGV12M011;GM_RM011_WGV12M012,yes,high,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,Vehicle thread candidate for diagnostic review only; not SAR-ready.
GM_RM011_WGV13T011,GM_RM011,standalone_target_family_after_identity_safe_split,GM_RM011_WGV12TF016,260,264,1,,,GM_RM011_WGV12M012;GM_RM011_WGV12M013,GM_RM011_WGV12M012;GM_RM011_WGV12M013,yes,high,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,Vehicle thread candidate for diagnostic review only; not SAR-ready.
GM_RM011_WGV13T012,GM_RM011,same_vehicle_thread_candidate_supported_by_tracking_association,GM_RM011_WGV12TF017;GM_RM011_WGV12TF018;GM_RM011_WGV12TF019,265,288,3,GM_RM011_WGV12M014;GM_RM011_WGV12M015,,GM_RM011_WGV12M013;GM_RM011_WGV12M016,GM_RM011_WGV12M013;GM_RM011_WGV12M016,yes,high,Do all target families in this thread preserve one real-vehicle referent after duplicate-box and competitor checks?,no,no / blocked,yes,yes,Vehicle thread candidate for diagnostic review only; not SAR-ready.
GM_RM011_WGV13T013,GM_RM011,standalone_target_family_after_identity_safe_split,GM_RM011_WGV12TF020,289,292,1,,,GM_RM011_WGV12M016,GM_RM011_WGV12M016,yes,high,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,Vehicle thread candidate for diagnostic review only; not SAR-ready.
GM_RM017_WGV13T001,GM_RM017,same_vehicle_thread_candidate_supported_by_tracking_association,GM_RM017_WGV12TF001;GM_RM017_WGV12TF002,118,148,2,GM_RM017_WGV12M001,,GM_RM017_WGV12M002,GM_RM017_WGV12M002,yes,high,Do all target families in this thread preserve one real-vehicle referent after duplicate-box and competitor checks?,no,no / blocked,yes,yes,Vehicle thread candidate for diagnostic review only; not SAR-ready.
