case_id,physical_vehicle_id,pair_or_interval_id,failure_type,blocked_reason,review_cn
ANCHOR_WGV35A_PAIR_0200,PV_GM19_BLACK_SEDAN_NEAR_FIELD,WGV35A_PAIR_0200,ANCHOR_WEAK,pressure_vehicle_short_or_edge_observation,SAR局部响应可见，但光学状态为压力/边缘/短段条件；只能作为压力审计，不进入A1主传播。
ANCHOR_WGV35A_PAIR_0201,PV_GM19_BLACK_SEDAN_NEAR_FIELD,WGV35A_PAIR_0201,ANCHOR_WEAK,pressure_vehicle_short_or_edge_observation,SAR局部响应可见，但光学状态为压力/边缘/短段条件；只能作为压力审计，不进入A1主传播。
ANCHOR_WGV35A_PAIR_0202,PV_GM19_BLACK_SEDAN_NEAR_FIELD,WGV35A_PAIR_0202,ANCHOR_WEAK,pressure_vehicle_short_or_edge_observation,SAR局部响应可见，但光学状态为压力/边缘/短段条件；只能作为压力审计，不进入A1主传播。
ANCHOR_WGV35A_PAIR_0203,PV_GM19_RIGHT_DARK_FRAGMENT,WGV35A_PAIR_0203,ANCHOR_PAIRING_REVIEW_REQUIRED,identity_or_pairing_review_required,同帧车辆或短片段身份复核未闭合，不能作为扩散起点。
ANCHOR_WGV35A_PAIR_0214,PV_GM19_GRAY_CAR_LEFT_EDGE,WGV35A_PAIR_0214,ANCHOR_WEAK,pressure_vehicle_short_or_edge_observation,SAR局部响应可见，但光学状态为压力/边缘/短段条件；只能作为压力审计，不进入A1主传播。
ANCHOR_WGV35A_PAIR_0215,PV_GM19_GRAY_CAR_LEFT_EDGE,WGV35A_PAIR_0215,ANCHOR_WEAK,pressure_vehicle_short_or_edge_observation,SAR局部响应可见，但光学状态为压力/边缘/短段条件；只能作为压力审计，不进入A1主传播。
INTERVAL_WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,BIDIRECTIONAL_PARTIAL,long_gap_or_local_response_review_required,长间隔或局部响应弱化导致只能部分闭合，需要后续A2机制固化或人工复核。
INTERVAL_WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,BIDIRECTIONAL_PARTIAL,long_gap_or_local_response_review_required,长间隔或局部响应弱化导致只能部分闭合，需要后续A2机制固化或人工复核。
INTERVAL_WGV35A_PAIR_0209_TO_WGV35A_PAIR_0210,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209_TO_WGV35A_PAIR_0210,BIDIRECTIONAL_PARTIAL,long_gap_or_local_response_review_required,长间隔或局部响应弱化导致只能部分闭合，需要后续A2机制固化或人工复核。
INTERVAL_WGV35A_PAIR_0211_TO_WGV35A_PAIR_0212,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211_TO_WGV35A_PAIR_0212,BIDIRECTIONAL_PARTIAL,long_gap_or_local_response_review_required,长间隔或局部响应弱化导致只能部分闭合，需要后续A2机制固化或人工复核。
