subject_frame_id,subject_name,sar_frame,split,posthoc_evaluation_label,gate_id,gate_status,gate_definition_version,threshold_source,threshold_value,input_fields,failure_reason,evidence,label_fields_used_for_status
vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,315,calibration,vehicle,G1_VALID_OBSERVATION,PASS,e0_r1_r1_symmetric_gate_v1,fixed_observation_rule,visible_fraction>=0.85,observation_status;visible_fraction,,visible=1;status=fully_observed,false
vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,315,calibration,vehicle,G2_METRIC_SIZE_COMPATIBLE,PASS,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,"long=[1.970678,6.178206];short=[0.320711,2.729073]",body_long_energy90_width_m;body_short_energy90_width_m,,long=3.860472;short=1.719482,false
vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,315,calibration,vehicle,G3_NOT_POINTLIKE,PASS,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,long>=1.970678 OR short>=0.320711,body_long_energy90_width_m;body_short_energy90_width_m,,long=3.860472;short=1.719482,false
vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,315,calibration,vehicle,G4_NOT_LONG_LINEAR,PASS,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,linearity<=7.493253,response_linearity,,linearity=2.297189,false
vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,315,calibration,vehicle,G5_COMPACT_EXTENDED_SUPPORT,PASS,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,compactness>=0.080633,response_compactness,,compactness=0.187511,false
vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,315,calibration,vehicle,G6_HIGH_ENERGY_OCCUPANCY_COMPATIBLE,PASS,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,"occupancy=[0.04498,0.506642]",high_energy_pixel_fraction,,occupancy=0.075385,false
vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,315,calibration,vehicle,G7_LOCAL_CENTERED_RESPONSE_STRUCTURE,PASS,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_subject_surfaces,center_ratio>=0.9524;contrast>=0.004;not_flat,center_value;best_value;center_to_far_median_contrast;peak_prominence;plateau_width_m,,surface_status=near_center_plateau;center_ratio=0.991376;contrast=0.009498;best_offset=0.45,false
vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,315,calibration,vehicle,G8_AXIS_RELATION_STRUCTURE_COMPATIBLE,PASS,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,principal_body_axial<=12,principal_minus_body_axial_deg;body_axis_proxy_deg;subject_principal_axis_deg,,principal_minus_body=3.053064;principal_minus_range=45.686197,false
vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,315,calibration,vehicle,G9_TEMPORAL_PATTERN_CONSISTENT,PASS,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_subject_specific_temporal_rule,stability>=0.45;status_stability>=0.55,metric_extent_stability;occupancy_stability;compactness_stability;linearity_stability;local_normalized_energy_stability;centered_surface_status_stability;principal_axis_stability;centroid_offset_stability;persistent_subject_status,,subject=vehicle_body_axis_reference;status=PASS,false
vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,315,calibration,vehicle,G10_BACKGROUND_FIXEDNESS_EXPLANATION_REJECTED,PASS,e0_r1_r1_symmetric_gate_v1,subject_motion_and_image_fixedness_rule,moving_center>=25;world_fixed<=2,subject_center_motion_px;image_coordinate_fixedness_sufficient;gt_relative_centroid_stability;subject_motion_model;persistent_subject_status,,center_motion=510.964118;fixed_sufficient=false,false
matched_ordinary_background_sar000315,matched_ordinary_background,315,calibration,negative,G1_VALID_OBSERVATION,PASS,e0_r1_r1_symmetric_gate_v1,fixed_observation_rule,visible_fraction>=0.85,observation_status;visible_fraction,,visible=1;status=fully_observed,false
matched_ordinary_background_sar000315,matched_ordinary_background,315,calibration,negative,G2_METRIC_SIZE_COMPATIBLE,PASS,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,"long=[1.970678,6.178206];short=[0.320711,2.729073]",body_long_energy90_width_m;body_short_energy90_width_m,,long=4.210514;short=1.724896,false
matched_ordinary_background_sar000315,matched_ordinary_background,315,calibration,negative,G3_NOT_POINTLIKE,PASS,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,long>=1.970678 OR short>=0.320711,body_long_energy90_width_m;body_short_energy90_width_m,,long=4.210514;short=1.724896,false
matched_ordinary_background_sar000315,matched_ordinary_background,315,calibration,negative,G4_NOT_LONG_LINEAR,PASS,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,linearity<=7.493253,response_linearity,,linearity=2.441119,false
matched_ordinary_background_sar000315,matched_ordinary_background,315,calibration,negative,G5_COMPACT_EXTENDED_SUPPORT,PASS,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,compactness>=0.080633,response_compactness,,compactness=0.147342,false
matched_ordinary_background_sar000315,matched_ordinary_background,315,calibration,negative,G6_HIGH_ENERGY_OCCUPANCY_COMPATIBLE,PASS,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,"occupancy=[0.04498,0.506642]",high_energy_pixel_fraction,,occupancy=0.05787,false
matched_ordinary_background_sar000315,matched_ordinary_background,315,calibration,negative,G7_LOCAL_CENTERED_RESPONSE_STRUCTURE,PASS,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_subject_surfaces,center_ratio>=0.9524;contrast>=0.004;not_flat,center_value;best_value;center_to_far_median_contrast;peak_prominence;plateau_width_m,,surface_status=near_center_plateau;center_ratio=0.973255;contrast=0.004735;best_offset=1,false
matched_ordinary_background_sar000315,matched_ordinary_background,315,calibration,negative,G8_AXIS_RELATION_STRUCTURE_COMPATIBLE,PASS,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,principal_body_axial<=12,principal_minus_body_axial_deg;body_axis_proxy_deg;subject_principal_axis_deg,,principal_minus_body=2.382223;principal_minus_range=48.481128,false
matched_ordinary_background_sar000315,matched_ordinary_background,315,calibration,negative,G9_TEMPORAL_PATTERN_CONSISTENT,NOT_EVALUABLE,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_subject_specific_temporal_rule,stability>=0.45;status_stability>=0.55,metric_extent_stability;occupancy_stability;compactness_stability;linearity_stability;local_normalized_energy_stability;centered_surface_status_stability;principal_axis_stability;centroid_offset_stability;persistent_subject_status,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,subject=matched_ordinary_background;status=NOT_EVALUABLE,false
matched_ordinary_background_sar000315,matched_ordinary_background,315,calibration,negative,G10_BACKGROUND_FIXEDNESS_EXPLANATION_REJECTED,NOT_EVALUABLE,e0_r1_r1_symmetric_gate_v1,subject_motion_and_image_fixedness_rule,moving_center>=25;world_fixed<=2,subject_center_motion_px;image_coordinate_fixedness_sufficient;gt_relative_centroid_stability;subject_motion_model;persistent_subject_status,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,center_motion=717.230786;fixed_sufficient=false,false
matched_strong_scatterer_background_sar000315,matched_strong_scatterer_background,315,calibration,negative,G1_VALID_OBSERVATION,PASS,e0_r1_r1_symmetric_gate_v1,fixed_observation_rule,visible_fraction>=0.85,observation_status;visible_fraction,,visible=1;status=fully_observed,false
matched_strong_scatterer_background_sar000315,matched_strong_scatterer_background,315,calibration,negative,G2_METRIC_SIZE_COMPATIBLE,PASS,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,"long=[1.970678,6.178206];short=[0.320711,2.729073]",body_long_energy90_width_m;body_short_energy90_width_m,,long=3.916141;short=1.678255,false
matched_strong_scatterer_background_sar000315,matched_strong_scatterer_background,315,calibration,negative,G3_NOT_POINTLIKE,PASS,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,long>=1.970678 OR short>=0.320711,body_long_energy90_width_m;body_short_energy90_width_m,,long=3.916141;short=1.678255,false
matched_strong_scatterer_background_sar000315,matched_strong_scatterer_background,315,calibration,negative,G4_NOT_LONG_LINEAR,PASS,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,linearity<=7.493253,response_linearity,,linearity=2.49636,false
matched_strong_scatterer_background_sar000315,matched_strong_scatterer_background,315,calibration,negative,G5_COMPACT_EXTENDED_SUPPORT,PASS,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,compactness>=0.080633,response_compactness,,compactness=0.181444,false
matched_strong_scatterer_background_sar000315,matched_strong_scatterer_background,315,calibration,negative,G6_HIGH_ENERGY_OCCUPANCY_COMPATIBLE,PASS,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,"occupancy=[0.04498,0.506642]",high_energy_pixel_fraction,,occupancy=0.266437,false
