wgv1_3_thread_id,scene_id,edge_id,edge_role,frame_id,phase,source_review_item_id,image_path_yolo_annotated,source_annotated_frame_path,copy_status,wgv1_3_edge_decision,tracking_style_decision,review_question,sar_ready,note
GM_RM011_WGV13T001,GM_RM011,GM_RM011_WGV12M001,included_same_vehicle,0,from_target_family,MRQ001,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000000_diagnostic_yolo26l.png,D:/profile/research/optical-sar-visual-diagnosis/outputs/oty2/y26l_wgv1_2_vehicle_centric_merge_review_20260708/MRQ001_GM_RM011_GM_RM011_WGV12M001/frames_yolo_annotated/GM_RM011_000000_diagnostic_yolo26l.png,copied,identity_safe_same_vehicle_thread_candidate,diagnostic_same_vehicle_candidate_supported,Do these two target families preserve one real-vehicle referent after resolving duplicate boxes and distinct competitors?,no / blocked,diagnostic edge review frame;not final box;not GT;not revised annotation
GM_RM011_WGV13T001,GM_RM011,GM_RM011_WGV12M001,included_same_vehicle,1,from_target_family,MRQ001,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000001_diagnostic_yolo26l.png,D:/profile/research/optical-sar-visual-diagnosis/outputs/oty2/y26l_wgv1_2_vehicle_centric_merge_review_20260708/MRQ001_GM_RM011_GM_RM011_WGV12M001/frames_yolo_annotated/GM_RM011_000001_diagnostic_yolo26l.png,copied,identity_safe_same_vehicle_thread_candidate,diagnostic_same_vehicle_candidate_supported,Do these two target families preserve one real-vehicle referent after resolving duplicate boxes and distinct competitors?,no / blocked,diagnostic edge review frame;not final box;not GT;not revised annotation
GM_RM011_WGV13T001,GM_RM011,GM_RM011_WGV12M001,included_same_vehicle,2,from_target_family,MRQ001,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000002_diagnostic_yolo26l.png,D:/profile/research/optical-sar-visual-diagnosis/outputs/oty2/y26l_wgv1_2_vehicle_centric_merge_review_20260708/MRQ001_GM_RM011_GM_RM011_WGV12M001/frames_yolo_annotated/GM_RM011_000002_diagnostic_yolo26l.png,copied,identity_safe_same_vehicle_thread_candidate,diagnostic_same_vehicle_candidate_supported,Do these two target families preserve one real-vehicle referent after resolving duplicate boxes and distinct competitors?,no / blocked,diagnostic edge review frame;not final box;not GT;not revised annotation
GM_RM011_WGV13T001,GM_RM011,GM_RM011_WGV12M001,included_same_vehicle,3,from_target_family,MRQ001,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000003_diagnostic_yolo26l.png,D:/profile/research/optical-sar-visual-diagnosis/outputs/oty2/y26l_wgv1_2_vehicle_centric_merge_review_20260708/MRQ001_GM_RM011_GM_RM011_WGV12M001/frames_yolo_annotated/GM_RM011_000003_diagnostic_yolo26l.png,copied,identity_safe_same_vehicle_thread_candidate,diagnostic_same_vehicle_candidate_supported,Do these two target families preserve one real-vehicle referent after resolving duplicate boxes and distinct competitors?,no / blocked,diagnostic edge review frame;not final box;not GT;not revised annotation
GM_RM011_WGV13T001,GM_RM011,GM_RM011_WGV12M001,included_same_vehicle,4,from_target_family,MRQ001,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000004_diagnostic_yolo26l.png,D:/profile/research/optical-sar-visual-diagnosis/outputs/oty2/y26l_wgv1_2_vehicle_centric_merge_review_20260708/MRQ001_GM_RM011_GM_RM011_WGV12M001/frames_yolo_annotated/GM_RM011_000004_diagnostic_yolo26l.png,copied,identity_safe_same_vehicle_thread_candidate,diagnostic_same_vehicle_candidate_supported,Do these two target families preserve one real-vehicle referent after resolving duplicate boxes and distinct competitors?,no / blocked,diagnostic edge review frame;not final box;not GT;not revised annotation
GM_RM011_WGV13T001,GM_RM011,GM_RM011_WGV12M001,included_same_vehicle,5,gap_context,MRQ001,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000005_diagnostic_yolo26l.png,D:/profile/research/optical-sar-visual-diagnosis/outputs/oty2/y26l_wgv1_2_vehicle_centric_merge_review_20260708/MRQ001_GM_RM011_GM_RM011_WGV12M001/frames_yolo_annotated/GM_RM011_000005_diagnostic_yolo26l.png,copied,identity_safe_same_vehicle_thread_candidate,diagnostic_same_vehicle_candidate_supported,Do these two target families preserve one real-vehicle referent after resolving duplicate boxes and distinct competitors?,no / blocked,diagnostic edge review frame;not final box;not GT;not revised annotation
GM_RM011_WGV13T001,GM_RM011,GM_RM011_WGV12M001,included_same_vehicle,6,gap_context,MRQ001,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000006_diagnostic_yolo26l.png,D:/profile/research/optical-sar-visual-diagnosis/outputs/oty2/y26l_wgv1_2_vehicle_centric_merge_review_20260708/MRQ001_GM_RM011_GM_RM011_WGV12M001/frames_yolo_annotated/GM_RM011_000006_diagnostic_yolo26l.png,copied,identity_safe_same_vehicle_thread_candidate,diagnostic_same_vehicle_candidate_supported,Do these two target families preserve one real-vehicle referent after resolving duplicate boxes and distinct competitors?,no / blocked,diagnostic edge review frame;not final box;not GT;not revised annotation
GM_RM011_WGV13T001,GM_RM011,GM_RM011_WGV12M001,included_same_vehicle,7,gap_context,MRQ001,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000007_diagnostic_yolo26l.png,D:/profile/research/optical-sar-visual-diagnosis/outputs/oty2/y26l_wgv1_2_vehicle_centric_merge_review_20260708/MRQ001_GM_RM011_GM_RM011_WGV12M001/frames_yolo_annotated/GM_RM011_000007_diagnostic_yolo26l.png,copied,identity_safe_same_vehicle_thread_candidate,diagnostic_same_vehicle_candidate_supported,Do these two target families preserve one real-vehicle referent after resolving duplicate boxes and distinct competitors?,no / blocked,diagnostic edge review frame;not final box;not GT;not revised annotation
GM_RM011_WGV13T001,GM_RM011,GM_RM011_WGV12M001,included_same_vehicle,8,to_target_family,MRQ001,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000008_diagnostic_yolo26l.png,D:/profile/research/optical-sar-visual-diagnosis/outputs/oty2/y26l_wgv1_2_vehicle_centric_merge_review_20260708/MRQ001_GM_RM011_GM_RM011_WGV12M001/frames_yolo_annotated/GM_RM011_000008_diagnostic_yolo26l.png,copied,identity_safe_same_vehicle_thread_candidate,diagnostic_same_vehicle_candidate_supported,Do these two target families preserve one real-vehicle referent after resolving duplicate boxes and distinct competitors?,no / blocked,diagnostic edge review frame;not final box;not GT;not revised annotation
GM_RM011_WGV13T001,GM_RM011,GM_RM011_WGV12M001,included_same_vehicle,9,to_target_family,MRQ001,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M001/GM_RM011_WGV12M001_000009_diagnostic_yolo26l.png,D:/profile/research/optical-sar-visual-diagnosis/outputs/oty2/y26l_wgv1_2_vehicle_centric_merge_review_20260708/MRQ001_GM_RM011_GM_RM011_WGV12M001/frames_yolo_annotated/GM_RM011_000009_diagnostic_yolo26l.png,copied,identity_safe_same_vehicle_thread_candidate,diagnostic_same_vehicle_candidate_supported,Do these two target families preserve one real-vehicle referent after resolving duplicate boxes and distinct competitors?,no / blocked,diagnostic edge review frame;not final box;not GT;not revised annotation
